Trainer ID,Trainer Class,Trainer Class Constant,Trainer Name,Area,Battle Type,Trainer Items,Party Slot,Potential Ace,Pokemon,Species Constant,Level,Held Item,IVs,Ability Slot,Move 1,Move 2,Move 3,Move 4,Moves Source,Sprite URL,Sheets Image Formula
11,Hiker,TRAINERCLASS_HIKER,Aiden,"Route 3, Ravaged Path",Double Battle,,1,yes,Dugtrio,SPECIES_DUGTRIO,12,,0,0,Tri Attack,Astonish,Night Slash,Mud Slap,learnset <= L12,https://img.pokemondb.net/sprites/home/normal/dugtrio.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/dugtrio.png"")"
11,Hiker,TRAINERCLASS_HIKER,Aiden,"Route 3, Ravaged Path",Double Battle,,2,,Diglett,SPECIES_DIGLETT,8,,0,0,Scratch,Sand Attack,Growl,Astonish,learnset <= L8,https://img.pokemondb.net/sprites/home/normal/diglett.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/diglett.png"")"
11,Hiker,TRAINERCLASS_HIKER,Aiden,"Route 3, Ravaged Path",Double Battle,,3,,Diglett,SPECIES_DIGLETT,8,,0,0,Scratch,Sand Attack,Growl,Astonish,learnset <= L8,https://img.pokemondb.net/sprites/home/normal/diglett.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/diglett.png"")"
11,Hiker,TRAINERCLASS_HIKER,Aiden,"Route 3, Ravaged Path",Double Battle,,4,,Geodude,SPECIES_GEODUDE,9,,0,0,Tackle,Defense Curl,Rock Polish,,learnset <= L9,https://img.pokemondb.net/sprites/home/normal/geodude.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/geodude.png"")"
12,Elder,TRAINERCLASS_ELDER,Marcus,"Route 3, Ravaged Path",Double Battle,,1,yes,Sandshrew,SPECIES_SANDSHREW,13,,0,0,Poison Sting,Sand Attack,Rollout,Fury Cutter,learnset <= L13,https://img.pokemondb.net/sprites/home/normal/sandshrew.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/sandshrew.png"")"
12,Elder,TRAINERCLASS_ELDER,Marcus,"Route 3, Ravaged Path",Double Battle,,2,,Diglett,SPECIES_DIGLETT,10,,0,0,Scratch,Sand Attack,Growl,Astonish,learnset <= L10,https://img.pokemondb.net/sprites/home/normal/diglett.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/diglett.png"")"
13,Lass,TRAINERCLASS_LASS,Sarah,Route 3,Double Battle,,1,yes,Cubone,SPECIES_CUBONE,8,,0,0,Growl,Mud Slap,Tail Whip,False Swipe,learnset <= L8,https://img.pokemondb.net/sprites/home/normal/cubone.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/cubone.png"")"
13,Lass,TRAINERCLASS_LASS,Sarah,Route 3,Double Battle,,2,,Mankey,SPECIES_MANKEY,7,,0,0,Leer,Focus Energy,Covet,Fury Swipes,learnset <= L7,https://img.pokemondb.net/sprites/home/normal/mankey.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/mankey.png"")"
13,Lass,TRAINERCLASS_LASS,Sarah,Route 3,Double Battle,,3,,Teddiursa,SPECIES_TEDDIURSA,6,,0,0,Lick,Covet,Fling,Baby Doll Eyes,learnset <= L6,https://img.pokemondb.net/sprites/home/normal/teddiursa.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/teddiursa.png"")"
14,Ace Trainer,TRAINERCLASS_ACE_TRAINER_F,Michelle,"Route 3, lato post-grotta",Double Battle,,1,,Spinda,SPECIES_SPINDA,12,,0,0,Tackle,Copycat,Teeter Dance,,learnset <= L12,https://img.pokemondb.net/sprites/home/normal/spinda.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/spinda.png"")"
14,Ace Trainer,TRAINERCLASS_ACE_TRAINER_F,Michelle,"Route 3, lato post-grotta",Double Battle,,2,,Spinda,SPECIES_SPINDA,11,,0,0,Tackle,Copycat,Teeter Dance,,learnset <= L11,https://img.pokemondb.net/sprites/home/normal/spinda.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/spinda.png"")"
14,Ace Trainer,TRAINERCLASS_ACE_TRAINER_F,Michelle,"Route 3, lato post-grotta",Double Battle,,3,yes,Munchlax,SPECIES_MUNCHLAX,14,,0,0,Lick,Defense Curl,Recycle,Covet,learnset <= L14,https://img.pokemondb.net/sprites/home/normal/munchlax.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/munchlax.png"")"
15,Beauty,TRAINERCLASS_BEAUTY,Belle,"Route 3, lato post-grotta",Double Battle,,1,yes,Shinx,SPECIES_SHINX,15,,0,0,Leer,Thunder Shock,Charge,Bite,learnset <= L15,https://img.pokemondb.net/sprites/home/normal/shinx.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/shinx.png"")"
15,Beauty,TRAINERCLASS_BEAUTY,Belle,"Route 3, lato post-grotta",Double Battle,,2,,Jigglypuff,SPECIES_JIGGLYPUFF,11,,0,0,Disable,Pound,Echoed Voice,Covet,learnset <= L11,https://img.pokemondb.net/sprites/home/normal/jigglypuff.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/jigglypuff.png"")"
15,Beauty,TRAINERCLASS_BEAUTY,Belle,"Route 3, lato post-grotta",Double Battle,,3,,Seedot,SPECIES_SEEDOT,12,,0,0,Absorb,Astonish,Growth,Rollout,learnset <= L12,https://img.pokemondb.net/sprites/home/normal/seedot.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/seedot.png"")"
16,Black Belt,TRAINERCLASS_BLACK_BELT,Simon,"Route 3, lato post-grotta",Double Battle,,1,yes,Riolu,SPECIES_RIOLU,14,,0,0,Endure,Feint,Metal Claw,Counter,learnset <= L14,https://img.pokemondb.net/sprites/home/normal/riolu.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/riolu.png"")"
16,Black Belt,TRAINERCLASS_BLACK_BELT,Simon,"Route 3, lato post-grotta",Double Battle,,2,,Machop,SPECIES_MACHOP,11,,0,0,Leer,Low Kick,Focus Energy,Revenge,learnset <= L11,https://img.pokemondb.net/sprites/home/normal/machop.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/machop.png"")"
16,Black Belt,TRAINERCLASS_BLACK_BELT,Simon,"Route 3, lato post-grotta",Double Battle,,3,,Chimchar,SPECIES_CHIMCHAR,11,,0,0,Scratch,Leer,Ember,Taunt,learnset <= L11,https://img.pokemondb.net/sprites/home/normal/chimchar.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/chimchar.png"")"
17,Picnicker,TRAINERCLASS_PICNICKER,Solana,"Route 3, lato post-grotta",Double Battle,,1,,Ditto,SPECIES_DITTO,12,,0,0,Transform,,,,learnset <= L12,https://img.pokemondb.net/sprites/home/normal/ditto.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/ditto.png"")"
17,Picnicker,TRAINERCLASS_PICNICKER,Solana,"Route 3, lato post-grotta",Double Battle,,2,,Smoochum,SPECIES_SMOOCHUM,11,,0,0,Lick,Pound,Powder Snow,Copycat,learnset <= L11,https://img.pokemondb.net/sprites/home/normal/smoochum.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/smoochum.png"")"
17,Picnicker,TRAINERCLASS_PICNICKER,Solana,"Route 3, lato post-grotta",Double Battle,,3,,Elekid,SPECIES_ELEKID,11,,0,0,Leer,Quick Attack,Thunder Shock,Charge,learnset <= L11,https://img.pokemondb.net/sprites/home/normal/elekid.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/elekid.png"")"
17,Picnicker,TRAINERCLASS_PICNICKER,Solana,"Route 3, lato post-grotta",Double Battle,,4,,Magby,SPECIES_MAGBY,11,,0,0,Leer,Smog,Ember,Smokescreen,learnset <= L11,https://img.pokemondb.net/sprites/home/normal/magby.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/magby.png"")"
17,Picnicker,TRAINERCLASS_PICNICKER,Solana,"Route 3, lato post-grotta",Double Battle,,5,yes,Phanpy,SPECIES_PHANPY,13,,0,0,Growl,Defense Curl,Flail,Rollout,learnset <= L13,https://img.pokemondb.net/sprites/home/normal/phanpy.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/phanpy.png"")"
18,Hiker,TRAINERCLASS_HIKER,Justin,"Route 3, Ravaged Path",Double Battle,,1,yes,Drilbur,SPECIES_DRILBUR,12,,0,0,Rapid Spin,Scratch,Hone Claws,Fury Swipes,learnset <= L12,https://img.pokemondb.net/sprites/home/normal/drilbur.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/drilbur.png"")"
18,Hiker,TRAINERCLASS_HIKER,Justin,"Route 3, Ravaged Path",Double Battle,,2,,Diglett,SPECIES_DIGLETT,8,,0,0,Scratch,Sand Attack,Growl,Astonish,learnset <= L8,https://img.pokemondb.net/sprites/home/normal/diglett.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/diglett.png"")"
18,Hiker,TRAINERCLASS_HIKER,Justin,"Route 3, Ravaged Path",Double Battle,,3,,Diglett,SPECIES_DIGLETT,8,,0,0,Scratch,Sand Attack,Growl,Astonish,learnset <= L8,https://img.pokemondb.net/sprites/home/normal/diglett.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/diglett.png"")"
18,Hiker,TRAINERCLASS_HIKER,Justin,"Route 3, Ravaged Path",Double Battle,,4,,Diglett,SPECIES_DIGLETT,8,,0,0,Scratch,Sand Attack,Growl,Astonish,learnset <= L8,https://img.pokemondb.net/sprites/home/normal/diglett.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/diglett.png"")"
19,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,1,yes,Kingler,SPECIES_KINGLER,60,,0,0,Slam,Swords Dance,Crabhammer,Guillotine,learnset <= L60,https://img.pokemondb.net/sprites/home/normal/kingler.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/kingler.png"")"
19,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,2,,Whiscash,SPECIES_WHISCASH,58,,0,0,Muddy Water,Earthquake,Future Sight,Fissure,learnset <= L58,https://img.pokemondb.net/sprites/home/normal/whiscash.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/whiscash.png"")"
19,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,3,,Pelipper,SPECIES_PELIPPER,58,,0,0,Fling,Mist,Roost,Hurricane,learnset <= L58,https://img.pokemondb.net/sprites/home/normal/pelipper.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/pelipper.png"")"
19,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,4,yes,Slowking,SPECIES_SLOWKING,60,,0,0,Psychic,Psych Up,Rain Dance,Heal Pulse,learnset <= L60,https://img.pokemondb.net/sprites/home/normal/slowking.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/slowking.png"")"
19,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,5,,Lapras,SPECIES_LAPRAS,56,,0,0,Body Slam,Ice Beam,Rain Dance,Hydro Pump,learnset <= L56,https://img.pokemondb.net/sprites/home/normal/lapras.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/lapras.png"")"
19,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,6,yes,Wailord,SPECIES_WAILORD,60,,0,0,Rest,Amnesia,Hydro Pump,Water Spout,learnset <= L60,https://img.pokemondb.net/sprites/home/normal/wailord.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/wailord.png"")"
20,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,1,yes,Kingler,SPECIES_KINGLER,48,,0,0,Flail,Razor Shell,Slam,Swords Dance,learnset <= L48,https://img.pokemondb.net/sprites/home/normal/kingler.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/kingler.png"")"
20,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,2,,Whiscash,SPECIES_WHISCASH,46,,0,0,Amnesia,Aqua Tail,Muddy Water,Earthquake,learnset <= L46,https://img.pokemondb.net/sprites/home/normal/whiscash.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/whiscash.png"")"
20,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,3,,Pelipper,SPECIES_PELIPPER,45,,0,0,Spit Up,Swallow,Fling,Mist,learnset <= L45,https://img.pokemondb.net/sprites/home/normal/pelipper.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/pelipper.png"")"
20,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,4,,Slowbro,SPECIES_SLOWBRO,45,,0,0,Surf,Slack Off,Psychic,Psych Up,learnset <= L45,https://img.pokemondb.net/sprites/home/normal/slowbro.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/slowbro.png"")"
20,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,5,,Lapras,SPECIES_LAPRAS,46,,0,0,Water Pulse,Brine,Body Slam,Ice Beam,learnset <= L46,https://img.pokemondb.net/sprites/home/normal/lapras.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/lapras.png"")"
21,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,1,yes,Kingler,SPECIES_KINGLER,35,,0,0,Protect,Bubble Beam,Stomp,Flail,learnset <= L35,https://img.pokemondb.net/sprites/home/normal/kingler.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/kingler.png"")"
21,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,2,,Whiscash,SPECIES_WHISCASH,32,,0,0,Belch,Water Pulse,Amnesia,Aqua Tail,learnset <= L32,https://img.pokemondb.net/sprites/home/normal/whiscash.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/whiscash.png"")"
21,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,3,,Pelipper,SPECIES_PELIPPER,34,,0,0,Stockpile,Spit Up,Swallow,Fling,learnset <= L34,https://img.pokemondb.net/sprites/home/normal/pelipper.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/pelipper.png"")"
21,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,4,,Slowbro,SPECIES_SLOWBRO,32,,0,0,Headbutt,Zen Headbutt,Amnesia,Surf,learnset <= L32,https://img.pokemondb.net/sprites/home/normal/slowbro.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/slowbro.png"")"
22,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,1,,Krabby,SPECIES_KRABBY,20,,0,0,Metal Claw,Mud Shot,Protect,Bubble Beam,learnset <= L20,https://img.pokemondb.net/sprites/home/normal/krabby.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/krabby.png"")"
22,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,2,yes,Barboach,SPECIES_BARBOACH,22,,0,0,Rest,Snore,Water Pulse,Amnesia,learnset <= L22,https://img.pokemondb.net/sprites/home/normal/barboach.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/barboach.png"")"
22,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,3,,Pelipper,SPECIES_PELIPPER,20,,0,0,Protect,Soak,Wing Attack,Water Pulse,learnset <= L20,https://img.pokemondb.net/sprites/home/normal/pelipper.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/pelipper.png"")"
23,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,1,yes,Krabby,SPECIES_KRABBY,8,,0,0,Leer,Water Gun,Harden,Metal Claw,learnset <= L8,https://img.pokemondb.net/sprites/home/normal/krabby.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/krabby.png"")"
23,Fisherman,TRAINERCLASS_FISHERMAN,John,"Heritage Park, evento pescatore",Double Battle,,2,yes,Barboach,SPECIES_BARBOACH,8,,0,0,Water Gun,Mud Slap,Rest,Snore,learnset <= L8,https://img.pokemondb.net/sprites/home/normal/barboach.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/barboach.png"")"
24,Ace Trainer,TRAINERCLASS_ACE_TRAINER_M,Gavin,"Route 4, verso Newport",Double Battle,,1,,Herdier,SPECIES_HERDIER,14,,0,0,Leer,Work Up,Bite,Retaliate,learnset <= L14,https://img.pokemondb.net/sprites/home/normal/herdier.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/herdier.png"")"
24,Ace Trainer,TRAINERCLASS_ACE_TRAINER_M,Gavin,"Route 4, verso Newport",Double Battle,,2,yes,Vigoroth,SPECIES_VIGOROTH,15,,0,0,Focus Energy,Encore,Uproar,Fury Swipes,learnset <= L15,https://img.pokemondb.net/sprites/home/normal/vigoroth.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/vigoroth.png"")"
25,Poke Kid,TRAINERCLASS_POKE_KID,Poppy,"Route 4, verso Newport",Double Battle,,1,,Dedenne,SPECIES_DEDENNE,12,,0,0,Tail Whip,Nuzzle,Tackle,Charge,learnset <= L12,https://img.pokemondb.net/sprites/home/normal/dedenne.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/dedenne.png"")"
25,Poke Kid,TRAINERCLASS_POKE_KID,Poppy,"Route 4, verso Newport",Double Battle,,2,,Dedenne,SPECIES_DEDENNE,12,,0,0,Tail Whip,Nuzzle,Tackle,Charge,learnset <= L12,https://img.pokemondb.net/sprites/home/normal/dedenne.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/dedenne.png"")"
25,Poke Kid,TRAINERCLASS_POKE_KID,Poppy,"Route 4, verso Newport",Double Battle,,3,,Dedenne,SPECIES_DEDENNE,12,,0,0,Tail Whip,Nuzzle,Tackle,Charge,learnset <= L12,https://img.pokemondb.net/sprites/home/normal/dedenne.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/dedenne.png"")"
25,Poke Kid,TRAINERCLASS_POKE_KID,Poppy,"Route 4, verso Newport",Double Battle,,4,,Dedenne,SPECIES_DEDENNE,12,,0,0,Tail Whip,Nuzzle,Tackle,Charge,learnset <= L12,https://img.pokemondb.net/sprites/home/normal/dedenne.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/dedenne.png"")"
25,Poke Kid,TRAINERCLASS_POKE_KID,Poppy,"Route 4, verso Newport",Double Battle,,5,yes,Pikachu,SPECIES_PIKACHU,14,,0,0,Growl,Thunder Wave,Double Team,Electro Ball,learnset <= L14,https://img.pokemondb.net/sprites/home/normal/pikachu.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/pikachu.png"")"
26,Black Belt,TRAINERCLASS_BLACK_BELT,Takeshi,"Route 4, verso Newport",Double Battle,,1,yes,Pancham,SPECIES_PANCHAM,15,,0,0,Leer,Arm Thrust,Taunt,Circle Throw,learnset <= L15,https://img.pokemondb.net/sprites/home/normal/pancham.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/pancham.png"")"
26,Black Belt,TRAINERCLASS_BLACK_BELT,Takeshi,"Route 4, verso Newport",Double Battle,,2,,Skiddo,SPECIES_SKIDDO,13,,0,0,Vine Whip,Tail Whip,Leech Seed,Razor Leaf,learnset <= L13,https://img.pokemondb.net/sprites/home/normal/skiddo.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/skiddo.png"")"
26,Black Belt,TRAINERCLASS_BLACK_BELT,Takeshi,"Route 4, verso Newport",Double Battle,,3,,Palpitoad,SPECIES_PALPITOAD,13,,0,0,Growl,Acid,Supersonic,Mud Shot,learnset <= L13,https://img.pokemondb.net/sprites/home/normal/palpitoad.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/palpitoad.png"")"
27,Bird Keeper,TRAINERCLASS_BIRD_KEEPER_GS,Corbin,"Route 4, verso Newport",Double Battle,,1,,Noctowl,SPECIES_NOCTOWL,14,,0,0,Sky Attack,Echoed Voice,Confusion,Reflect,learnset <= L14,https://img.pokemondb.net/sprites/home/normal/noctowl.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/noctowl.png"")"
27,Bird Keeper,TRAINERCLASS_BIRD_KEEPER_GS,Corbin,"Route 4, verso Newport",Double Battle,,2,yes,Skarmory,SPECIES_SKARMORY,16,,0,0,Sand Attack,Fury Attack,Metal Claw,Agility,learnset <= L16,https://img.pokemondb.net/sprites/home/normal/skarmory.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/skarmory.png"")"
28,Bug Catcher,TRAINERCLASS_BUG_CATCHER,Milo,"Route 4, verso Newport",Double Battle,,1,,Dunsparce,SPECIES_DUNSPARCE,13,,0,0,Flail,Mud Slap,Rollout,Glare,learnset <= L13,https://img.pokemondb.net/sprites/home/normal/dunsparce.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/dunsparce.png"")"
28,Bug Catcher,TRAINERCLASS_BUG_CATCHER,Milo,"Route 4, verso Newport",Double Battle,,2,,Ferroseed,SPECIES_FERROSEED,14,,0,0,Tackle,Harden,Metal Claw,Pin Missile,learnset <= L14,https://img.pokemondb.net/sprites/home/normal/ferroseed.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/ferroseed.png"")"
28,Bug Catcher,TRAINERCLASS_BUG_CATCHER,Milo,"Route 4, verso Newport",Double Battle,,3,yes,Heracross,SPECIES_HERACROSS,15,,0,0,Arm Thrust,Fury Attack,Endure,Aerial Ace,learnset <= L15,https://img.pokemondb.net/sprites/home/normal/heracross.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/heracross.png"")"
29,Sailor,TRAINERCLASS_SAILOR,Ronan,"Route 4, verso Newport",Double Battle,,1,,Vaporeon,SPECIES_VAPOREON,14,,0,0,Baton Pass,Charm,Sand Attack,Quick Attack,learnset <= L14,https://img.pokemondb.net/sprites/home/normal/vaporeon.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/vaporeon.png"")"
29,Sailor,TRAINERCLASS_SAILOR,Ronan,"Route 4, verso Newport",Double Battle,,2,yes,Lumineon,SPECIES_LUMINEON,15,,0,0,Gust,Water Gun,Soak,Rain Dance,learnset <= L15,https://img.pokemondb.net/sprites/home/normal/lumineon.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/lumineon.png"")"
36,Black Belt,TRAINERCLASS_BLACK_BELT,Daichi,"Route 4, verso Newport, script battle Hitmonlee",Single Battle,,1,,Hitmonlee,SPECIES_HITMONLEE,20,,0,0,Double Kick,Low Kick,Endure,Sucker Punch,learnset <= L20,https://img.pokemondb.net/sprites/home/normal/hitmonlee.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/hitmonlee.png"")"
37,Black Belt,TRAINERCLASS_BLACK_BELT,Daichi,"Route 4, verso Newport, script battle Hitmonchan",Single Battle,,1,,Hitmonchan,SPECIES_HITMONCHAN,20,,0,0,Mach Punch,Vacuum Wave,Detect,Bullet Punch,learnset <= L20,https://img.pokemondb.net/sprites/home/normal/hitmonchan.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/hitmonchan.png"")"
253,Gym Leader,TRAINERCLASS_LEADER_BROCK,Kaseki,Palestra Roccia,Double Battle,Super Potion,1,,Omanyte,SPECIES_OMANYTE,14,,200,0,Protect,Harden,Ancient Power,Water Gun,explicit trainer moves,https://img.pokemondb.net/sprites/home/normal/omanyte.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/omanyte.png"")"
253,Gym Leader,TRAINERCLASS_LEADER_BROCK,Kaseki,Palestra Roccia,Double Battle,Super Potion,2,,Archen,SPECIES_ARCHEN,14,,200,0,Aerial Ace,Wing Attack,Ancient Power,Quick Attack,explicit trainer moves,https://img.pokemondb.net/sprites/home/normal/archen.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/archen.png"")"
